Date,Open,High,Low,Close,Adj Close,Volume
2023-06-12,4650.0,4650.0,4475.0,4525.0,4525.0,248339000.0
2023-06-19,4525.0,4612.5,4487.5,4562.5,4562.5,140555800.0
2023-06-26,4562.5,4625.0,4537.5,4612.5,4612.5,97064800.0
2023-07-03,4612.5,4612.5,4525.0,4525.0,4525.0,141500400.0
2023-07-10,4512.5,4537.5,4437.5,4475.0,4475.0,349700800.0
2023-07-17,4475.0,4537.5,4450.0,4512.5,4512.5,184676800.0
2023-07-24,4525.0,4562.5,4400.0,4437.5,4437.5,381804600.0
2023-07-31,4412.5,4525.0,4312.5,4500.0,4500.0,376175600.0
2023-08-07,4500.0,4625.0,4450.0,4600.0,4600.0,267265200.0
2023-08-14,4600.0,4612.5,4475.0,4562.5,4562.5,190876000.0
2023-08-21,4562.5,4575.0,4525.0,4550.0,4550.0,135960400.0
2023-08-28,4550.0,4762.5,4550.0,4725.0,4725.0,360654000.0
2023-09-04,4725.0,4850.0,4650.0,4725.0,4725.0,318692400.0
2023-09-11,4725.0,4762.5,4637.5,4675.0,4675.0,261411600.0
2023-09-18,4687.5,5025.0,4675.0,5025.0,5025.0,369134000.0
2023-09-25,5037.5,5250.0,4975.0,5150.0,5150.0,348764800.0
2023-10-02,5175.0,5237.5,5050.0,5100.0,5100.0,274928200.0
2023-10-09,5175.0,5425.0,5150.0,5200.0,5200.0,246457900.0
2023-10-16,5200.0,5225.0,4900.0,4990.0,4990.0,257711700.0
2023-10-23,5000.0,5075.0,4810.0,4850.0,4850.0,243504400.0
2023-10-30,4850.0,5000.0,4720.0,4970.0,4970.0,273210300.0
2023-11-06,4970.0,4970.0,4820.0,4890.0,4890.0,156857700.0
2023-11-13,4910.0,5025.0,4880.0,4980.0,4980.0,260031800.0
2023-11-20,5000.0,5350.0,4990.0,5275.0,5275.0,379243800.0
2023-11-27,5350.0,5350.0,5100.0,5300.0,5300.0,284035300.0
2023-12-04,5300.0,5325.0,5050.0,5175.0,5175.0,182990000.0
2023-12-11,5250.0,5425.0,5125.0,5200.0,5200.0,274831800.0
2023-12-18,5200.0,5250.0,5125.0,5250.0,5250.0,180986200.0
2023-12-25,5300.0,5400.0,5250.0,5375.0,5375.0,107279500.0
2024-01-01,5375.0,5750.0,5300.0,5575.0,5575.0,254927700.0
2024-01-08,5600.0,5700.0,5575.0,5600.0,5600.0,136684200.0
2024-01-15,,,,,,
